YEARAWARDED,OPPOSITETEAM
1949,Washington Capitols
1950,Syracuse Nationals (76ers)
1952,New York Knicks
1953,New York Knicks
1954,Syracuse Nationals (76ers)
1972,New York Knicks
1980,Philadelphia 76ers
1982,Philadelphia 76ers
1985,Boston Celtics
1987,Boston Celtics
1988,Detroit Pistons
2000,Indiana Pacers
2001,Philadelphia 76ers
2002,New Jersey Nets
2009,Orlando Magic
2010,Boston Celtics
2020,Miami Heat
