SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,OPP_PTS
2019-20,1610612747,LAL,Los Angeles Lakers,0021900287,2019-12-01T00:00:00,LAL vs. DAL,L,48.0,40,87,0.46,7,27,0.259,13,16,0.813,9,36,45,25,17.0,9,3,1,14,20,100,-14.0,1,53,53,53,3,46,37,48,60,56,60,54,61,16,51,28,37,35,51,26,62,2,2,45,61,63,114
2019-20,1610612747,LAL,Los Angeles Lakers,0021900279,2019-11-29T00:00:00,LAL vs. WAS,W,48.0,45,87,0.517,14,32,0.438,21,28,0.75,7,40,47,29,19.0,9,8,2,20,23,125,22.0,1,1,1,1,3,21,37,14,11,30,14,23,21,29,60,12,25,13,60,26,18,8,28,25,10,10,103
2019-20,1610612747,LAL,Los Angeles Lakers,0021900264,2019-11-27T00:00:00,LAL @ NOP,W,48.0,44,85,0.518,8,24,0.333,18,25,0.72,7,30,37,25,16.0,9,6,4,24,23,114,4.0,1,1,1,1,3,29,52,13,55,63,37,31,32,39,60,61,67,35,36,26,32,37,54,25,37,44,110
2019-20,1610612747,LAL,Los Angeles Lakers,0021900249,2019-11-25T00:00:00,LAL @ SAS,W,48.0,44,89,0.494,14,33,0.424,12,18,0.667,10,30,40,28,9.0,7,6,5,18,22,114,10.0,1,1,1,1,3,29,26,30,11,24,18,57,57,54,40,61,60,19,3,49,32,51,14,31,37,22,104
2019-20,1610612747,LAL,Los Angeles Lakers,0021900232,2019-11-23T00:00:00,LAL @ MEM,W,48.0,38,84,0.452,13,39,0.333,20,29,0.69,11,29,40,19,16.0,12,7,3,14,19,109,1.0,1,1,1,1,3,56,56,53,20,6,37,25,17,47,29,65,60,63,36,8,25,23,2,51,46,52,108
2019-20,1610612747,LAL,Los Angeles Lakers,0021900220,2019-11-22T00:00:00,LAL @ OKC,W,48.0,45,88,0.511,17,31,0.548,23,29,0.793,11,34,45,32,16.0,7,6,3,20,23,130,3.0,1,1,1,1,3,21,33,20,3,37,1,15,17,20,29,40,37,6,36,49,32,23,28,25,3,46,127
2019-20,1610612747,LAL,Los Angeles Lakers,0021900201,2019-11-19T00:00:00,LAL vs. OKC,W,48.0,43,89,0.483,14,31,0.452,12,19,0.632,14,32,46,29,16.0,9,8,2,20,22,112,5.0,1,1,1,1,3,33,26,37,11,37,10,57,52,63,7,48,30,13,36,26,18,8,28,31,42,41,107
2019-20,1610612747,LAL,Los Angeles Lakers,0021900188,2019-11-17T00:00:00,LAL vs. ATL,W,48.0,47,89,0.528,15,35,0.429,13,16,0.813,10,32,42,26,17.0,10,14,2,19,19,122,21.0,1,1,1,1,3,11,26,9,6,17,15,54,61,16,40,48,52,30,51,19,2,8,23,51,18,11,101
2019-20,1610612747,LAL,Los Angeles Lakers,0021900174,2019-11-15T00:00:00,LAL vs. SAC,W,48.0,34,81,0.42,11,37,0.297,20,22,0.909,10,31,41,22,13.0,11,6,0,18,22,99,2.0,1,1,1,1,3,67,66,64,32,10,51,25,42,1,40,57,56,52,15,12,32,1,14,31,63,49,97
2019-20,1610612747,LAL,Los Angeles Lakers,0021900159,2019-11-13T00:00:00,LAL vs. GSW,W,48.0,48,89,0.539,9,20,0.45,15,18,0.833,13,38,51,31,19.0,8,6,7,18,14,120,26.0,1,1,1,1,3,7,26,6,47,69,12,44,57,8,13,17,10,9,60,39,32,66,14,67,22,6,94
