SEASON,MIN,PTS,AST,REB,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
regular,34.4,26.1,3.2,9.3,2.3,2.5,0.503,0.33,0.846
playoffs,36.7,27.7,3.5,9.7,1.4,2.5,0.576,0.356,0.869
