SEASON,MIN,PTS,AST,REB,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
playoffs,36.3,27.6,8.8,10.8,0.9,4.0,0.556,0.330,0.710
regular,34.6,25.3,10.2,7.8,0.5,3.9,0.493,0.348,0.693
